,0,1
1795,US,North America
1796,US,North America
1797,US,North America
1798,CA,North America
1799,US,North America
1800,US,North America
1801,US,North America
1802,CA,North America
1803,US,North America
1804,,
1805,PK,Asia
1806,US,North America
1807,US,North America
1808,US,North America
1809,US,North America
1810,US,North America
1811,US,North America
1812,US,North America
1813,US,North America
1814,US,North America
1815,US,North America
1816,US,North America
1817,US,North America
1818,IN,Asia
1819,US,North America
1820,US,North America
1821,US,North America
1822,US,North America
1823,US,North America
1824,US,North America
1825,US,North America
1826,US,North America
1827,US,North America
1828,US,North America
1829,US,North America
1830,US,North America
1831,US,North America
1832,US,North America
1833,CA,North America
1834,IN,Asia
